id	Cluster
GSM1301444	Cluster1
GSM1301445	Cluster1
GSM1301446	Cluster1
GSM1301447	Cluster1
GSM1301448	Cluster1
GSM1301449	Cluster1
GSM1301450	Cluster2
GSM1301451	Cluster2
GSM1301452	Cluster1
GSM1301453	Cluster2
GSM1301454	Cluster1
GSM1301455	Cluster1
GSM1301456	Cluster1
GSM1301457	Cluster1
GSM1301458	Cluster1
GSM1301459	Cluster2
GSM1301460	Cluster2
GSM1301461	Cluster1
