symbol	GSM1301444	GSM1301445	GSM1301446	GSM1301447	GSM1301448	GSM1301449	GSM1301450	GSM1301451	GSM1301452	GSM1301453	GSM1301454	GSM1301455	GSM1301456	GSM1301457	GSM1301458	GSM1301459	GSM1301460	GSM1301461
MYH6	5.55761033333333	5.54516013333333	5.65792813333333	5.83800376666667	5.50127433333333	5.69450146666667	4.35682282407407	5.7901443	5.595573	5.45216023333333	5.36256186666667	5.60312776666667	6.0236284	5.839574	6.2075931	4.8677478	6.17111466666667	5.9561256
MYH7	8.637732	6.6327934	6.107159	7.101893	5.4574103	8.25516	5.79268	5.518062	5.0710697	4.5506616	5.5373325	6.047607	7.3091035	7.1970963	5.064956	6.266022	6.075521	4.9186244
MYH7B	5.11635465	4.3970925	4.53983225	5.07418765	5.3320085	5.6630032	5.68422985	6.86599135	5.3332665	7.5944803	6.3278078	5.1070757	5.251239	6.49959985	6.49747985	4.36535735	5.33844	6.3778413
MYH8	6.112945	5.77813212222222	6.4532924	5.3871017	5.8701653	2.984708	4.1115026	6.3417935	5.7938557	5.872639	5.51648	5.9719877	4.3522344	6.5836606	6.6162143	4.2506485	6.4948072	6.1572905
MYH9	12.5500156666667	12.5847917222222	13.063362	12.752074	13.029738	12.7648625	12.410736	12.867298	13.215275	12.753032	12.3208945	12.8588385277778	12.477412	12.6903155	12.792268125	13.3453775	12.9641147222222	12.47565475
MYL1	2.6388376	2.6178315	2.8441129	3.0624442	3.110715	2.7058454	3.6696534	4.3690186	2.6403	2.6200566	2.634828	2.67549167777778	2.671589	3.9269934	3.2745934	2.664757	2.615264	2.6381989
MYL10	5.8618107	5.88276083333333	5.9270635	6.0628433	5.7909927	6.8962455	4.5372853	5.84644595555556	5.816842	5.9611073	6.1025596	5.446701	5.430515	5.9229836	5.909998	4.887999	6.115769	5.7560873
MYL12A	16.371078	16.231766	16.166222	16.666111	16.522541	16.832352	16.649336	16.596191	16.512403	16.577568	16.280449	16.9164128888889	17.768843	17.07122	16.92543	16.814873	16.456615	16.729647
MYL12B	15.4295295	15.650641	15.4841545	16.010906	15.763776	15.631995	15.8190325	15.8052415	16.1081889444444	16.0285065	15.62598625	16.15036475	16.587638	16.278022	16.405549	16.202902	15.58407	15.8532415
MYL2	5.020072	5.802133	5.079614	5.56913	4.822157	3.511138	4.7470284	5.135783	5.041873	5.558515	5.3063536	4.429297	4.3334	4.325142	4.379578	4.370048	4.5245624	4.9462223
MYL3	6.554157	6.22058335	6.94539	6.590748	6.6096601	6.0478477	6.3249847	6.70871	7.4064765	7.5027925	6.8918272	6.6684245	6.60493925	6.2743813	6.500353	7.0738463	6.956456	6.575712
MYL4	6.99185515	6.5702541	6.48455758333333	6.870605	6.1962595	6.70635965	5.92482305	6.5187467	6.3746915	6.60031815	6.276679	6.25333775	6.16475142222222	6.7156091	5.92823065	6.16813785	6.4373335	6.64503595
MYL5	11.09677	11.0778055	10.011223	10.705572	10.0226755	10.845238	11.397322	11.096519	10.876921	10.745774	10.686622	11.086262	10.471979	11.659724	11.095789	10.561833	11.463513	10.2596035
MYL6	16.320382	15.8501265	16.4866215	16.32206	16.718814	16.62317	16.5759925	16.542044	17.0619435	15.9242965	16.4113815	16.8203305	17.245352	16.506655	16.2850645	16.884173	16.6675415	16.605446
MYL6B	14.090788	13.614843	14.1983572777778	13.603216	14.408982	13.937449	14.9836445	14.22402	14.452618	15.136511	14.531491	14.285125	12.95955	13.884738	14.183319	13.999319	15.074634	13.645814
MYL7	6.8785114	7.330107	6.13391121111111	7.586654	6.7204614	6.5150504	6.2141476	6.556721	6.4102883	6.17743747222222	6.9160447	6.1741743	7.1753497	6.1527886	6.2414722	6.477714	6.4619956	6.791464
MYL9	7.5054626	7.738421	9.998072	8.272576	9.512374	10.068524	7.2724047	9.178665	10.391291	10.462018	8.956583	8.163108	6.411893	7.8794994	7.463864	9.15667	9.6459875	9.11355922222222
MYLIP	11.5001445833333	11.2842725	10.4804473055556	11.1754779444444	12.5348705	10.5648965277778	11.9849715	12.0602021666667	11.4847955	10.3417705	11.47389325	11.782811	12.864158	12.422313	11.9229755	11.1752915	11.4363875	11.703622
MYLK	11.5918930277778	11.9704175	12.5963615	12.4402125	13.197351	12.6212335	12.08746275	12.888987	13.347051	13.543907	12.4528645	11.89237875	8.40919375	11.2625455	10.175313	12.409615	12.7014565	13.9168445
MYLK2	7.816987	7.594704	7.3708076	8.06	7.2871394	7.574469	7.1447077	7.560905	8.132067	8.19451	8.075914	7.6046615	7.7216177	7.023858	8.441537	8.041576	7.161822	7.7722716
MYLK3	3.39734663888889	3.8461633	4.9726453	2.9556346	3.695289	4.9122787	3.3782375	3.5649393	4.1478696	3.9085066	3.3289971	3.82448106111111	5.0710697	4.300571	4.159483	3.6304853	3.1542675	3.7865562
MYLPF	6.6859093	6.178922	6.522899	6.130104	6.412464	6.722682	5.889204	6.8052487	6.2748966	6.3808875	6.259605	6.03895	6.6382475	6.6914372	6.4880476	4.970006	6.637478	6.34235405
MYNN	6.8884547	7.09123132777778	6.93200135	6.8634611	8.23506035	6.7587241	8.68841325	7.4668447	6.65515185	6.64214191666667	6.7604442	6.98886485	7.03780965	7.1500678	7.33323287222222	7.643722	6.6737721	6.9775647
